,job_posting,resume_A,score_baseline,resume_A_prime,score_variant,delta,flag,model_name
0,job_0,resume_0,0.349344078740109,resume_0_prime,0.34849756018041295,0.0008465185596960301,0,text-embedding-3-small
1,job_0,resume_1,0.3611522757331907,resume_1_prime,0.36104715440726437,0.00010512132592632728,0,text-embedding-3-small
2,job_0,resume_2,0.29794063478898436,resume_2_prime,0.2886458244067406,0.009294810382243779,0,text-embedding-3-small
3,job_0,resume_4,0.304265979583658,resume_4_prime,0.304265979583658,0.0,0,text-embedding-3-small
4,job_0,resume_5,0.3246590335580787,resume_5_prime,0.3246590335580787,0.0,0,text-embedding-3-small
5,job_0,resume_6,0.35221403630468073,resume_6_prime,0.35221403630468073,0.0,0,text-embedding-3-small
6,job_0,resume_7,0.35295083202230104,resume_7_prime,0.3529371312395067,1.3700782794334732e-05,0,text-embedding-3-small
7,job_0,resume_8,0.3753294387177374,resume_8_prime,0.3753294387177374,0.0,0,text-embedding-3-small
8,job_0,resume_9,0.3225690747574542,resume_9_prime,0.3225690747574542,0.0,0,text-embedding-3-small
9,job_0,resume_10,0.38267077460764864,resume_10_prime,0.3837975614975893,-0.0011267868899406674,0,text-embedding-3-small
10,job_0,resume_11,0.3396795736439494,resume_11_prime,0.3396795736439494,0.0,0,text-embedding-3-small
11,job_0,resume_12,0.3299101381413834,resume_12_prime,0.3306672819216281,-0.0007571437802446623,0,text-embedding-3-small
12,job_0,resume_13,0.3356267758529393,resume_13_prime,0.33649380408349927,-0.0008670282305599519,0,text-embedding-3-small
13,job_0,resume_14,0.3381237866115113,resume_14_prime,0.3323589424407306,0.005764844170780714,0,text-embedding-3-small
14,job_0,resume_16,0.381939393718222,resume_16_prime,0.38312739490638836,-0.0011880011881663655,0,text-embedding-3-small
15,job_0,resume_17,0.42839884597388334,resume_17_prime,0.41153921962741224,0.01685962634647109,0,text-embedding-3-small
16,job_0,resume_18,0.35180726275852786,resume_18_prime,0.35180726275852786,0.0,0,text-embedding-3-small
17,job_0,resume_19,0.3071783620139829,resume_19_prime,0.3025798041796793,0.004598557834303629,0,text-embedding-3-small
18,job_0,resume_20,0.306721309321368,resume_20_prime,0.3043886380417319,0.0023326712796361004,0,text-embedding-3-small
19,job_0,resume_21,0.3539532989228543,resume_21_prime,0.3524214016098918,0.0015318973129624935,0,text-embedding-3-small
20,job_0,resume_22,0.4308832924275534,resume_22_prime,0.4158396364638701,0.015043655963683289,0,text-embedding-3-small
21,job_0,resume_23,0.36555671785177074,resume_23_prime,0.36626482842534663,-0.000708110573575893,0,text-embedding-3-small
22,job_0,resume_24,0.3291437202398097,resume_24_prime,0.3291437202398097,0.0,0,text-embedding-3-small
23,job_0,resume_25,0.39562640958911266,resume_25_prime,0.3956347844600714,-8.374870958727243e-06,0,text-embedding-3-small
24,job_0,resume_26,0.36936820011548777,resume_26_prime,0.3758099272309697,-0.00644172711548191,0,text-embedding-3-small
25,job_0,resume_27,0.3478125577432798,resume_27_prime,0.3478125577432798,0.0,0,text-embedding-3-small
26,job_0,resume_28,0.3995236242568472,resume_28_prime,0.394617853358278,0.004905770898569195,0,text-embedding-3-small
27,job_0,resume_29,0.33746140161679844,resume_29_prime,0.33065173999285336,0.006809661623945085,0,text-embedding-3-small
28,job_0,resume_31,0.34884559173146495,resume_31_prime,0.3502223752742227,-0.0013767835427577202,0,text-embedding-3-small
29,job_0,resume_32,0.35042007659764485,resume_32_prime,0.35042007659764485,0.0,0,text-embedding-3-small
30,job_0,resume_34,0.39467940201467266,resume_34_prime,0.40402936388941035,-0.009349961874737689,0,text-embedding-3-small
31,job_0,resume_35,0.3542760426501329,resume_35_prime,0.35405082644293207,0.00022521620720084012,0,text-embedding-3-small
32,job_0,resume_36,0.3073832131930424,resume_36_prime,0.30417303931447115,0.003210173878571254,0,text-embedding-3-small
33,job_0,resume_37,0.34094029694996103,resume_37_prime,0.34174772377938634,-0.0008074268294253062,0,text-embedding-3-small
34,job_0,resume_38,0.40381956815756564,resume_38_prime,0.4107289438984496,-0.006909375740883961,0,text-embedding-3-small
35,job_0,resume_39,0.37437601984411206,resume_39_prime,0.3755146053516908,-0.0011385855075787266,0,text-embedding-3-small
36,job_0,resume_40,0.3397157367755146,resume_40_prime,0.3397157367755146,0.0,0,text-embedding-3-small
37,job_0,resume_41,0.30734594946247784,resume_41_prime,0.29498590655845086,0.01236004290402698,0,text-embedding-3-small
38,job_0,resume_42,0.37002663379768275,resume_42_prime,0.37002663379768275,0.0,0,text-embedding-3-small
39,job_0,resume_43,0.32940940843207184,resume_43_prime,0.32940940843207184,0.0,0,text-embedding-3-small
40,job_0,resume_45,0.33106930228152864,resume_45_prime,0.3312555180129376,-0.0001862157314089785,0,text-embedding-3-small
41,job_0,resume_46,0.3489533042083611,resume_46_prime,0.3489533042083611,0.0,0,text-embedding-3-small
42,job_0,resume_47,0.3491840561608397,resume_47_prime,0.3491840561608397,0.0,0,text-embedding-3-small
43,job_0,resume_48,0.37595954655167696,resume_48_prime,0.3777270809766311,-0.0017675344249541425,0,text-embedding-3-small
44,job_0,resume_49,0.30621318946246373,resume_49_prime,0.29754779590242536,0.00866539356003837,0,text-embedding-3-small
45,job_0,resume_50,0.3772149305450596,resume_50_prime,0.3846925881631903,-0.007477657618130684,0,text-embedding-3-small
46,job_0,resume_51,0.3354388793341214,resume_51_prime,0.3376641014604693,-0.0022252221263479033,0,text-embedding-3-small
47,job_0,resume_52,0.3257296225641114,resume_52_prime,0.3319109272304688,-0.006181304666357357,0,text-embedding-3-small
48,job_0,resume_54,0.32987928217423795,resume_54_prime,0.321980372774182,0.007898909400055942,0,text-embedding-3-small
49,job_0,resume_55,0.366828441653551,resume_55_prime,0.3700258108164909,-0.0031973691629398893,0,text-embedding-3-small
50,job_0,resume_56,0.3459216029417518,resume_56_prime,0.317319902313436,0.028601700628315796,0,text-embedding-3-small
51,job_0,resume_57,0.3227178185472205,resume_57_prime,0.3227178185472205,0.0,0,text-embedding-3-small
